"都道府県コード又は市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","名称_英語","住所","方書","緯度","経度","設置者","電話番号","内線番号","SSID","提供エリア","URL","備考"
"131032","0000000001","東京都","港区","虎ノ門駅９番口","トラノモンエキ９バングチ","Toranomon Station Exit 9","東京都港区虎ノ門一丁目1番15号",,"35.669865","139.751303","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000002","東京都","港区","内幸町駅Ａ４番口","ウチサイワイチョウエキＡ４バングチ","Uchisaiwaicho Station Exit A4","東京都港区西新橋一丁目3番12号",,"35.668889","139.754194","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000003","東京都","港区","新橋駅銀座口","シンバシエキギンザクチ","Shimbashi Station Ginza Exit","東京都港区新橋一丁目11番",,"35.667359","139.758966","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000004","東京都","港区","新橋駅前西口広場","シンバシエキマエニシグチヒロバ","West Exit Plaza front of Shimbashi Station","東京都港区新橋二丁目16番1号",,"35.667038","139.757554","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000005","東京都","港区","新橋駅前西口広場２","シンバシエキマエニシグチヒロバ２","West Exit Plaza2 in front of Shimbashi Station","東京都港区新橋二丁目16番1号",,"35.666869","139.75745","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000006","東京都","港区","神谷町駅４番口","カミヤチョウエキ４バングチ","Kamiyacho Station Exit 4","東京都港区虎ノ門五丁目1番8号",,"35.663448","139.745311","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000007","東京都","港区","御成門駅Ａ５番口","オナリモンエキＡ５バングチ","Onarimon Station Exit A5","東京都港区西新橋三丁目24号",,"35.661268","139.751402","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000008","東京都","港区","港区本庁舎（芝地区総合支所）","ミナトクホンチョウシャ（シバチクソウゴウシショ）","Minato City Hall (Shiba Regional City Office)","東京都港区芝公園一丁目5番25号",,"35.65802","139.751476","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000009","東京都","港区","大門駅Ａ６番口","ダイモンエキＡ６バングチ","Daimon Station Exit A6","東京都港区芝大門二丁目3番1号",,"35.656786","139.753784","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000010","東京都","港区","浜松町駅北口","ハママツチョウエキキタグチ","Hamamatsucho Station North Exit","東京都港区浜松町二丁目4番1号",,"35.656527","139.756391","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
